px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.2156	23.977	2.74381	0.148543	-0.0854554	66.3403	23.9959	66.0431	24.0276	2.37349	0.508655	2.13434
66.1495	23.9364	2.6569	0.124958	-0.10863	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	2.58807
68.4236	24.3543	2.46394	0.123641	-0.0547563	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	3.62701
68.471	24.3774	2.50189	0.134653	-0.0459999	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.0511
70.8506	24.866	2.4708	0.187006	0.00879762	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0.289351
70.814	24.8492	2.426	0.176129	-0.00113373	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	0.691108
73.0122	24.782	2.28262	-0.0337754	-0.117357	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	3.15017
73.028	24.7871	2.28893	-0.0346418	-0.119299	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.208461
75.0946	25.1905	2.15966	0.131491	0.0328918	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	3.21737
75.0713	25.1805	2.13794	0.123743	0.02685	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.219909
77.1548	24.989	2.10785	-0.0878526	-0.101855	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	1.46434
77.147	24.9703	2.0722	-0.116518	-0.130573	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	1.02008
79.1307	24.9883	2.02751	-0.0511894	-0.0275722	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0.984652
79.1242	24.9833	2.01042	-0.0613191	-0.0376204	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.213732
80.9048	24.8629	1.89199	-0.0899536	-0.0347368	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	1.26036
80.9162	24.8613	1.87327	-0.104944	-0.052547	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.21842
82.6624	24.6357	1.82355	-0.15504	-0.0525084	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0.222847
82.6353	24.6196	1.79145	-0.178241	-0.0726117	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.435114
84.241	24.5079	1.69102	-0.118392	-0.00694869	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	1.12879
84.2373	24.5053	1.68492	-0.122784	-0.0108042	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.0244859
85.7138	23.8668	1.62341	-0.400373	-0.14792	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	2.07436
85.7443	23.878	1.64099	-0.390436	-0.142489	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	0.468036
87.0403	23.4572	1.48839	-0.405809	-0.0861903	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	2.16732
87.1142	23.4845	1.5159	-0.378048	-0.0743805	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.15668
88.7087	22.8183	1.66118	-0.422988	-0.055444	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	1.89318
88.6638	22.7981	1.63358	-0.457811	-0.0796242	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.692175
89.6887	22.2293	1.37226	-0.549283	-0.0953917	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	5.87968
89.6994	22.2307	1.36866	-0.556775	-0.10603	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.390395
90.6105	21.611	1.22274	-0.654289	-0.107479	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	1.76402
90.6771	21.6396	1.25797	-0.591899	-0.0647939	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.45008
91.7163	21.0777	1.22123	-0.542865	-0.0103991	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0.335697
