px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	2.25294e-314
8.4485	0.251375	-0.000719129	2.65358e-17	2.60209e-18	8.44818	0.251553	8.45	0.25	-3.00027	0	0.000275949
8.47145	0.248799	-0.00552261	3.13589e-06	3.2362e-07	8.56759	0.241943	8.45	0.25	0	0	0.125985
8.46434	0.250982	-0.008373	-2.0611e-05	-2.93662e-06	8.45582	0.253997	8.45	0.25	0	0	0.00655045
8.3766	0.251326	-0.891871	0.00139893	0.00034771	8.42544	0.254042	8.35	0.25	-1.81979	0	19.9465
8.31269	0.250631	-0.912747	0.00314537	0.000760671	8.23962	0.24916	8.25	0.25	-1.81978	0	0.349861
8.10949	0.234669	-1.31105	0.181299	0.054725	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	30.2326
8.01267	0.204195	-1.35666	0.290862	0.0832268	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	1.91343
7.82553	0.342801	-1.6406	-1.27109	-0.54805	7.61269	0.155818	7.7	0.15	-2.99982	0	18.6893
7.72041	0.283903	-1.69845	-0.585747	-0.285835	7.54016	0.159641	7.55	0.15	-2.99982	0	3.46725
7.58087	0.198815	-1.75263	0.116587	0.0956863	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	1.56721
7.46008	0.138344	-1.75199	0.25007	0.108305	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	1.48067
7.31552	0.198586	-2.02822	-0.108079	-0.432796	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	10.3117
7.17794	0.114971	-2.0481	0.0760895	-0.276144	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	2.83547
7.06698	0.0431385	-2.01073	0.199605	-0.114247	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	2.93968
6.94501	-0.091302	-2.03453	0.424513	0.200536	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	2.57243
6.83469	-0.141296	-2.07838	0.391849	0.00301541	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	2.08322
6.7292	-0.272668	-2.12378	0.551081	0.217731	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	2.75827
6.68365	-0.453887	-2.12369	0.930436	1.04786	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.34355
6.61628	-0.567118	-2.14871	1.01737	1.07947	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0.573302
6.57862	-0.724925	-2.18989	1.23284	1.3974	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.5353
6.53239	-0.878069	-2.22978	1.32958	1.37478	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	1.94036
6.42013	-0.954008	-2.16993	1.10302	0.698523	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	8.19455
6.34985	-1.09094	-2.21014	1.1374	0.654737	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	1.81744
6.46042	-1.29829	-2.29564	1.61867	1.5142	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	31.0113
6.45226	-1.45886	-2.34322	1.69413	1.47175	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	2.47845
6.38407	-1.56153	-2.26691	1.55663	1.06525	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	11.3661
6.35702	-1.71542	-2.32213	1.58683	1.00592	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	3.57354
6.41763	-1.87003	-2.41093	1.77225	1.22927	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	8.66952
6.42239	-2.02417	-2.45903	1.81212	1.1836	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	2.7257
6.40788	-2.16748	-2.44074	1.79126	1.0404	6.32593	-2.40018	6.35	-2.4	0	-2.72613	4.33127
6.41584	-2.33684	-2.48887	1.82146	0.994566	6.34927	-2.55175	6.35	-2.55	0	-2.72611	2.70226
6.46555	-2.49148	-2.53936	1.90263	1.03424	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	2.33932
6.49022	-2.65827	-2.58076	1.93216	0.995131	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	2.01695
6.49924	-2.79265	-2.56563	1.92646	0.914328	6.46536	-3.00452	6.45	-3	0	-2.99754	2.87204
6.51589	-2.95296	-2.60859	1.93822	0.871378	6.44119	-3.14955	6.45	-3.15	0	-2.99754	2.42855
6.57235	-3.1063	-2.64812	1.99181	0.882882	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	1.64502
6.60644	-3.27726	-2.68647	2.00832	0.845455	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	2.0069
6.68982	-3.429	-2.74337	2.07866	0.883027	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	3.11
6.75464	-3.59245	-2.77638	2.10861	0.860456	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	1.40939
6.81678	-3.73364	-2.76831	2.13289	0.830336	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.19963
6.88107	-3.89799	-2.79967	2.15291	0.802119	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	1.44398
6.94225	-4.03515	-2.78176	2.16988	0.768355	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.45252
7.00176	-4.1989	-2.80789	2.17975	0.734991	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	1.42912
7.04468	-4.32451	-2.73324	2.17277	0.670509	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	8.92844
7.10673	-4.4717	-2.74498	2.18529	0.646478	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0.627057
7.17334	-4.59752	-2.71867	2.20023	0.620432	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	1.3073
7.23061	-4.75183	-2.73394	2.20194	0.588509	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	1.13178
7.33368	-4.88994	-2.78361	2.2416	0.602602	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	2.54632
